 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos maternosÓbitos maternos tardios por Município
Período:1996-2021
"Município";"Óbitos_maternos";"Óbitos_maternos_tardios"
"310180 ALPERCATA";1;-
"310190 ALPINOPOLIS";3;-
"310200 ALTEROSA";5;-
"310205 ALTO CAPARAO";-;-
"310210 ALTO RIO DOCE";5;-
"310220 ALVARENGA";1;-
"310230 ALVINOPOLIS";3;-
"310240 ALVORADA DE MINAS";1;-
"310250 AMPARO DO SERRA";1;-
"310260 ANDRADAS";2;-
"310270 CACHOEIRA DE PAJEU";2;1
"310280 ANDRELANDIA";4;-
"310285 ANGELANDIA";3;-
"310290 ANTONIO CARLOS";3;-
"310300 ANTONIO DIAS";2;-
"310310 ANTONIO PRADO DE MINAS";-;-
"310320 ARACAI";1;-
"310330 ARACITABA";-;-
"310340 ARACUAI";3;-
"310350 ARAGUARI";16;-
"310360 ARANTINA";-;-
"310370 ARAPONGA";2;-
"310375 ARAPORA";1;-
"310380 ARAPUA";-;-
"310390 ARAUJOS";-;-
"310400 ARAXA";20;-
"310410 ARCEBURGO";-;-
"310420 ARCOS";4;-
"310430 AREADO";-;-
"310440 ARGIRITA";-;1
"310445 ARICANDUVA";-;-
"310450 ARINOS";2;-
"310460 ASTOLFO DUTRA";2;-
"310470 ATALEIA";2;-
"310480 AUGUSTO DE LIMA";1;-
"310490 BAEPENDI";1;-
"310500 BALDIM";2;-
"310510 BAMBUI";1;-
"310520 BANDEIRA";-;-
"310530 BANDEIRA DO SUL";1;-
"310540 BARAO DE COCAIS";3;1
"310550 BARAO DE MONTE ALTO";-;-
"310560 BARBACENA";27;-
"310570 BARRA LONGA";2;-
"310590 BARROSO";4;-
"310600 BELA VISTA DE MINAS";1;-
"310610 BELMIRO BRAGA";1;-
"310620 BELO HORIZONTE";359;9
"310630 BELO ORIENTE";5;-
"310640 BELO VALE";-;-
"310650 BERILO";5;-
"310660 BERTOPOLIS";2;-
"310665 BERIZAL";1;-
"310670 BETIM";72;6
"310680 BIAS FORTES";-;-
"310690 BICAS";3;-
"310700 BIQUINHAS";-;-
"310710 BOA ESPERANCA";9;-
"310720 BOCAINA DE MINAS";1;-
"310730 BOCAIUVA";7;1
"310740 BOM DESPACHO";5;-
"310750 BOM JARDIM DE MINAS";1;-
"310760 BOM JESUS DA PENHA";-;-
"310770 BOM JESUS DO AMPARO";2;-
"310780 BOM JESUS DO GALHO";6;-
"310790 BOM REPOUSO";-;-
"310800 BOM SUCESSO";5;-
"310810 BONFIM";1;-
"310820 BONFINOPOLIS DE MINAS";1;-
"310825 BONITO DE MINAS";4;-
"310830 BORDA DA MATA";1;1
"310840 BOTELHOS";2;-
"310850 BOTUMIRIM";1;-
"310855 BRASILANDIA DE MINAS";5;-
"310860 BRASILIA DE MINAS";4;-
"310870 BRAS PIRES";-;-
"310880 BRAUNAS";1;-
"310890 BRAZOPOLIS";4;-
"310900 BRUMADINHO";2;-
"310910 BUENO BRANDAO";1;-
"310920 BUENOPOLIS";4;-
"310925 BUGRE";-;-
"310930 BURITIS";6;-
"310940 BURITIZEIRO";6;-
"310945 CABECEIRA GRANDE";-;-
"310950 CABO VERDE";-;-
"310960 CACHOEIRA DA PRATA";2;-
"310970 CACHOEIRA DE MINAS";1;-
"310980 CACHOEIRA DOURADA";-;-
"310990 CAETANOPOLIS";1;-
"311000 CAETE";15;1
"311010 CAIANA";-;-
"311020 CAJURI";1;-
"311030 CALDAS";2;-
"311040 CAMACHO";1;-
"311050 CAMANDUCAIA";-;-
"311060 CAMBUI";1;-
"311070 CAMBUQUIRA";3;-
"311080 CAMPANARIO";-;-
"311090 CAMPANHA";2;-
"311100 CAMPESTRE";2;-
"311110 CAMPINA VERDE";1;-
"311115 CAMPO AZUL";1;-
"311120 CAMPO BELO";6;2
"311130 CAMPO DO MEIO";2;-
"311140 CAMPO FLORIDO";-;-
"311150 CAMPOS ALTOS";2;-
"311160 CAMPOS GERAIS";2;-
"311170 CANAA";-;-
"311180 CANAPOLIS";-;-
"311190 CANA VERDE";-;-
"311200 CANDEIAS";1;-
"311205 CANTAGALO";-;-
"311210 CAPARAO";1;-
"311220 CAPELA NOVA";-;-
"311230 CAPELINHA";6;-
"311240 CAPETINGA";1;-
"311250 CAPIM BRANCO";4;-
"311260 CAPINOPOLIS";2;-
"311265 CAPITAO ANDRADE";-;-
"311270 CAPITAO ENEAS";4;-
"311280 CAPITOLIO";1;-
"311290 CAPUTIRA";-;-
"311300 CARAI";3;-
"311310 CARANAIBA";1;-
"311320 CARANDAI";2;-
"311330 CARANGOLA";2;-
"311340 CARATINGA";14;-
"311350 CARBONITA";2;-
"311360 CAREACU";-;-
"311370 CARLOS CHAGAS";7;-
"311380 CARMESIA";-;-
"311390 CARMO DA CACHOEIRA";4;-
"311400 CARMO DA MATA";1;-
"311410 CARMO DE MINAS";2;-
"311420 CARMO DO CAJURU";3;-
"311430 CARMO DO PARANAIBA";3;-
"311440 CARMO DO RIO CLARO";3;-
"311450 CARMOPOLIS DE MINAS";2;-
"311455 CARNEIRINHO";2;-
"311460 CARRANCAS";-;-
"311470 CARVALHOPOLIS";-;-
"311480 CARVALHOS";1;-
"311490 CASA GRANDE";1;-
"311500 CASCALHO RICO";-;-
"311510 CASSIA";3;-
"311520 CONCEICAO DA BARRA DE MINAS";-;-
"311530 CATAGUASES";17;-
"311535 CATAS ALTAS";4;-
"311540 CATAS ALTAS DA NORUEGA";2;-
"311545 CATUJI";1;-
"311547 CATUTI";1;-
"311550 CAXAMBU";4;-
"311560 CEDRO DO ABAETE";-;-
"311570 CENTRAL DE MINAS";1;1
"311580 CENTRALINA";-;-
"311590 CHACARA";-;-
"311600 CHALE";-;-
"311610 CHAPADA DO NORTE";3;-
"311615 CHAPADA GAUCHA";4;1
"311620 CHIADOR";1;-
"311630 CIPOTANEA";1;1
"311640 CLARAVAL";-;-
"311650 CLARO DOS POCOES";1;-
"311660 CLAUDIO";3;-
"311670 COIMBRA";-;-
"311680 COLUNA";1;-
"311690 COMENDADOR GOMES";-;-
"311700 COMERCINHO";1;-
"311710 CONCEICAO DA APARECIDA";-;-
"311720 CONCEICAO DAS PEDRAS";-;-
"311730 CONCEICAO DAS ALAGOAS";7;-
"311740 CONCEICAO DE IPANEMA";-;-
"311750 CONCEICAO DO MATO DENTRO";7;-
"311760 CONCEICAO DO PARA";1;-
"311770 CONCEICAO DO RIO VERDE";2;-
"311780 CONCEICAO DOS OUROS";-;-
"311783 CONEGO MARINHO";2;-
"311787 CONFINS";2;-
"311790 CONGONHAL";2;-
"311800 CONGONHAS";11;-
"311810 CONGONHAS DO NORTE";1;-
"311820 CONQUISTA";1;1
"311830 CONSELHEIRO LAFAIETE";13;-
"311840 CONSELHEIRO PENA";9;-
"311850 CONSOLACAO";1;-
"311860 CONTAGEM";116;3
"311870 COQUEIRAL";1;-
"311880 CORACAO DE JESUS";-;-
"311890 CORDISBURGO";-;-
"311900 CORDISLANDIA";1;-
"311910 CORINTO";4;-
"311920 COROACI";3;1
"311930 COROMANDEL";2;-
"311940 CORONEL FABRICIANO";13;-
"311950 CORONEL MURTA";1;-
"311960 CORONEL PACHECO";-;-
"311970 CORONEL XAVIER CHAVES";-;-
"311980 CORREGO DANTA";1;-
"311990 CORREGO DO BOM JESUS";1;-
"311995 CORREGO FUNDO";1;-
"312000 CORREGO NOVO";3;1
"312010 COUTO DE MAGALHAES DE MINAS";-;-
"312015 CRISOLITA";2;-
"312020 CRISTAIS";2;-
"312030 CRISTALIA";3;-
"312040 CRISTIANO OTONI";2;-
"312050 CRISTINA";3;-
"312060 CRUCILANDIA";-;-
"312070 CRUZEIRO DA FORTALEZA";-;-
"312080 CRUZILIA";4;-
"312083 CUPARAQUE";-;-
"312087 CURRAL DE DENTRO";4;-
"312090 CURVELO";10;-
"312100 DATAS";3;-
"312110 DELFIM MOREIRA";1;-
"312120 DELFINOPOLIS";-;-
"312125 DELTA";2;-
"312130 DESCOBERTO";-;-
"312140 DESTERRO DE ENTRE RIOS";-;-
"312150 DESTERRO DO MELO";2;-
"312160 DIAMANTINA";15;-
"312170 DIOGO DE VASCONCELOS";-;-
"312180 DIONISIO";2;-
"312190 DIVINESIA";-;-
"312200 DIVINO";-;-
"312210 DIVINO DAS LARANJEIRAS";-;-
"312220 DIVINOLANDIA DE MINAS";2;-
"312230 DIVINOPOLIS";27;-
"312235 DIVISA ALEGRE";2;-
"312240 DIVISA NOVA";-;-
"312245 DIVISOPOLIS";2;-
"312247 DOM BOSCO";-;-
"312250 DOM CAVATI";-;-
"312260 DOM JOAQUIM";2;-
"312270 DOM SILVERIO";2;-
"312280 DOM VICOSO";-;-
"312290 DONA EUSEBIA";1;-
"312300 DORES DE CAMPOS";-;-
"312310 DORES DE GUANHAES";1;-
"312320 DORES DO INDAIA";-;-
"312330 DORES DO TURVO";-;-
"312340 DORESOPOLIS";-;-
"312350 DOURADOQUARA";-;-
"312352 DURANDE";1;-
"312360 ELOI MENDES";1;-
"312370 ENGENHEIRO CALDAS";1;-
"312380 ENGENHEIRO NAVARRO";1;-
"312385 ENTRE FOLHAS";2;-
"312390 ENTRE RIOS DE MINAS";4;-
"312400 ERVALIA";4;-
"312410 ESMERALDAS";10;-
"312420 ESPERA FELIZ";1;-
"312430 ESPINOSA";6;-
"312440 ESPIRITO SANTO DO DOURADO";-;-
"312450 ESTIVA";-;-
"312460 ESTRELA DALVA";-;-
"312470 ESTRELA DO INDAIA";-;-
"312480 ESTRELA DO SUL";-;-
"312490 EUGENOPOLIS";4;-
"312500 EWBANK DA CAMARA";1;-
"312510 EXTREMA";1;-
"312520 FAMA";-;-
"312530 FARIA LEMOS";1;-
"312540 FELICIO DOS SANTOS";1;-
"312550 SAO GONCALO DO RIO PRETO";1;-
"312560 FELISBURGO";1;-
"312570 FELIXLANDIA";4;-
"312580 FERNANDES TOURINHO";1;-
"312590 FERROS";2;-
"312595 FERVEDOURO";1;-
"312600 FLORESTAL";1;-
"312610 FORMIGA";10;1
"312620 FORMOSO";2;-
"312630 FORTALEZA DE MINAS";-;-
"312640 FORTUNA DE MINAS";-;-
"312650 FRANCISCO BADARO";1;-
"312660 FRANCISCO DUMONT";1;-
"312670 FRANCISCO SA";2;-
"312675 FRANCISCOPOLIS";2;-
"312680 FREI GASPAR";1;-
"312690 FREI INOCENCIO";2;-
"312695 FREI LAGONEGRO";1;-
"312700 FRONTEIRA";-;-
"312705 FRONTEIRA DOS VALES";1;-
"312707 FRUTA DE LEITE";1;-
"312710 FRUTAL";8;-
"312720 FUNILANDIA";1;-
"312730 GALILEIA";1;-
"312733 GAMELEIRAS";3;-
"312735 GLAUCILANDIA";1;-
"312737 GOIABEIRA";-;-
"312738 GOIANA";1;-
"312740 GONCALVES";1;-
"312750 GONZAGA";1;-
"312760 GOUVEIA";3;-
"312770 GOVERNADOR VALADARES";60;2
"312780 GRAO MOGOL";3;-
"312790 GRUPIARA";-;-
"312800 GUANHAES";9;-
"312810 GUAPE";-;-
"312820 GUARACIABA";2;-
"312825 GUARACIAMA";-;-
"312830 GUARANESIA";3;-
"312840 GUARANI";-;-
"312850 GUARARA";1;-
"312860 GUARDA-MOR";-;-
"312870 GUAXUPE";8;-
"312880 GUIDOVAL";-;-
"312890 GUIMARANIA";2;-
"312900 GUIRICEMA";-;-
"312910 GURINHATA";3;-
"312920 HELIODORA";2;-
"312930 IAPU";3;-
"312940 IBERTIOGA";-;-
"312950 IBIA";5;-
"312960 IBIAI";-;-
"312965 IBIRACATU";-;-
"312970 IBIRACI";3;-
"312980 IBIRITE";34;2
"312990 IBITIURA DE MINAS";-;-
"313000 IBITURUNA";1;-
"313005 ICARAI DE MINAS";2;-
"313010 IGARAPE";3;-
"313020 IGARATINGA";1;-
"313030 IGUATAMA";-;-
"313040 IJACI";2;-
"313050 ILICINEA";5;-
"313055 IMBE DE MINAS";-;-
"313060 INCONFIDENTES";1;-
"313065 INDAIABIRA";1;-
"313070 INDIANOPOLIS";2;-
"313080 INGAI";-;-
"313090 INHAPIM";2;-
"313100 INHAUMA";-;-
"313110 INIMUTABA";2;-
"313115 IPABA";1;-
"313120 IPANEMA";5;-
"313130 IPATINGA";31;-
"313140 IPIACU";2;-
"313150 IPUIUNA";-;-
"313160 IRAI DE MINAS";-;-
"313170 ITABIRA";11;1
"313180 ITABIRINHA";3;-
"313190 ITABIRITO";12;-
"313200 ITACAMBIRA";-;-
"313210 ITACARAMBI";4;-
"313220 ITAGUARA";2;-
"313230 ITAIPE";2;-
"313240 ITAJUBA";16;-
"313250 ITAMARANDIBA";9;-
"313260 ITAMARATI DE MINAS";2;-
"313270 ITAMBACURI";11;-
"313280 ITAMBE DO MATO DENTRO";-;-
"313290 ITAMOGI";-;-
"313300 ITAMONTE";1;-
"313310 ITANHANDU";4;-
"313320 ITANHOMI";3;-
"313330 ITAOBIM";3;-
"313340 ITAPAGIPE";2;-
"313350 ITAPECERICA";2;-
"313360 ITAPEVA";2;-
"313370 ITATIAIUCU";1;-
"313375 ITAU DE MINAS";3;-
"313380 ITAUNA";12;-
"313390 ITAVERAVA";1;-
"313400 ITINGA";3;-
"313410 ITUETA";1;-
"313420 ITUIUTABA";12;1
"313430 ITUMIRIM";1;-
"313440 ITURAMA";12;-
"313450 ITUTINGA";1;-
"313460 JABOTICATUBAS";1;-
"313470 JACINTO";2;-
"313480 JACUI";-;-
"313490 JACUTINGA";2;-
"313500 JAGUARACU";1;-
"313505 JAIBA";13;1
"313507 JAMPRUCA";-;-
"313510 JANAUBA";22;-
"313520 JANUARIA";13;-
"313530 JAPARAIBA";-;-
"313535 JAPONVAR";-;-
"313540 JECEABA";1;-
"313545 JENIPAPO DE MINAS";1;-
"313550 JEQUERI";1;-
"313560 JEQUITAI";2;-
"313570 JEQUITIBA";2;-
"313580 JEQUITINHONHA";7;-
"313590 JESUANIA";-;-
"313600 JOAIMA";3;-
"313610 JOANESIA";1;-
"313620 JOAO MONLEVADE";12;-
"313630 JOAO PINHEIRO";2;-
"313640 JOAQUIM FELICIO";3;-
"313650 JORDANIA";2;-
"313652 JOSE GONCALVES DE MINAS";3;-
"313655 JOSE RAYDAN";1;-
"313657 JOSENOPOLIS";1;-
"313660 NOVA UNIAO";-;-
"313665 JUATUBA";4;-
"313670 JUIZ DE FORA";124;7
"313680 JURAMENTO";1;-
"313690 JURUAIA";-;-
"313695 JUVENILIA";1;-
"313700 LADAINHA";4;-
"313710 LAGAMAR";1;-
"313720 LAGOA DA PRATA";6;1
"313730 LAGOA DOS PATOS";2;-
"313740 LAGOA DOURADA";5;-
"313750 LAGOA FORMOSA";4;-
"313753 LAGOA GRANDE";3;-
"313760 LAGOA SANTA";6;-
"313770 LAJINHA";7;-
"313780 LAMBARI";2;-
"313790 LAMIM";1;-
"313800 LARANJAL";-;-
"313810 LASSANCE";3;-
"313820 LAVRAS";11;-
"313830 LEANDRO FERREIRA";-;-
"313835 LEME DO PRADO";-;-
"313840 LEOPOLDINA";6;-
"313850 LIBERDADE";1;-
"313860 LIMA DUARTE";3;-
"313862 LIMEIRA DO OESTE";1;-
"313865 LONTRA";2;-
"313867 LUISBURGO";1;-
"313868 LUISLANDIA";2;-
"313870 LUMINARIAS";-;-
"313880 LUZ";2;-
"313890 MACHACALIS";1;-
"313900 MACHADO";9;-
"313910 MADRE DE DEUS DE MINAS";2;-
"313920 MALACACHETA";8;-
"313925 MAMONAS";-;-
"313930 MANGA";11;1
"313940 MANHUACU";11;-
"313950 MANHUMIRIM";6;-
"313960 MANTENA";7;-
"313970 MARAVILHAS";1;-
"313980 MAR DE ESPANHA";5;-
"313990 MARIA DA FE";1;-
"314000 MARIANA";9;-
"314010 MARILAC";4;-
"314015 MARIO CAMPOS";3;-
"314020 MARIPA DE MINAS";1;-
"314030 MARLIERIA";-;-
"314040 MARMELOPOLIS";-;-
"314050 MARTINHO CAMPOS";2;-
"314053 MARTINS SOARES";-;-
"314055 MATA VERDE";2;-
"314060 MATERLANDIA";1;-
"314070 MATEUS LEME";4;-
"314080 MATIAS BARBOSA";3;-
"314085 MATIAS CARDOSO";4;-
"314090 MATIPO";2;-
"314100 MATO VERDE";3;-
"314110 MATOZINHOS";8;-
"314120 MATUTINA";1;-
"314130 MEDEIROS";-;-
"314140 MEDINA";7;-
"314150 MENDES PIMENTEL";3;-
"314160 MERCES";-;-
"314170 MESQUITA";-;-
"314180 MINAS NOVAS";12;-
"314190 MINDURI";-;-
"314200 MIRABELA";1;-
"314210 MIRADOURO";1;-
"314220 MIRAI";1;-
"314225 MIRAVANIA";1;-
"314230 MOEDA";1;-
"314240 MOEMA";2;-
"314250 MONJOLOS";2;-
"314260 MONSENHOR PAULO";4;-
"314270 MONTALVANIA";5;-
"314280 MONTE ALEGRE DE MINAS";6;-
"314290 MONTE AZUL";5;-
"314300 MONTE BELO";2;-
"314310 MONTE CARMELO";11;-
"314315 MONTE FORMOSO";1;-
"314320 MONTE SANTO DE MINAS";1;-
"314330 MONTES CLAROS";68;2
"314340 MONTE SIAO";3;-
"314345 MONTEZUMA";2;-
"314350 MORADA NOVA DE MINAS";3;-
"314360 MORRO DA GARCA";1;-
"314370 MORRO DO PILAR";1;-
"314380 MUNHOZ";-;-
"314390 MURIAE";11;-
"314400 MUTUM";3;-
"314410 MUZAMBINHO";2;-
"314420 NACIP RAYDAN";-;1
"314430 NANUQUE";8;-
"314435 NAQUE";1;-
"314437 NATALANDIA";1;-
"314440 NATERCIA";-;-
"314450 NAZARENO";1;-
"314460 NEPOMUCENO";4;-
"314465 NINHEIRA";2;1
"314467 NOVA BELEM";2;-
"314470 NOVA ERA";3;-
"314480 NOVA LIMA";9;-
"314490 NOVA MODICA";1;-
"314500 NOVA PONTE";1;-
"314505 NOVA PORTEIRINHA";2;-
"314510 NOVA RESENDE";-;-
"314520 NOVA SERRANA";15;-
"314530 NOVO CRUZEIRO";7;-
"314535 NOVO ORIENTE DE MINAS";3;-
"314537 NOVORIZONTE";1;-
"314540 OLARIA";-;-
"314545 OLHOS-D'AGUA";1;1
"314550 OLIMPIO NORONHA";-;-
"314560 OLIVEIRA";1;-
"314570 OLIVEIRA FORTES";1;-
"314580 ONCA DE PITANGUI";-;-
"314585 ORATORIOS";-;-
"314587 ORIZANIA";-;-
"314590 OURO BRANCO";6;-
"314600 OURO FINO";2;-
"314610 OURO PRETO";9;-
"314620 OURO VERDE DE MINAS";3;-
"314625 PADRE CARVALHO";-;-
"314630 PADRE PARAISO";4;-
"314640 PAINEIRAS";1;-
"314650 PAINS";2;-
"314655 PAI PEDRO";1;-
"314660 PAIVA";1;-
"314670 PALMA";2;-
"314675 PALMOPOLIS";1;-
"314690 PAPAGAIOS";4;-
"314700 PARACATU";23;1
"314710 PARA DE MINAS";11;-
"314720 PARAGUACU";4;-
"314730 PARAISOPOLIS";5;-
"314740 PARAOPEBA";6;-
"314750 PASSABEM";1;-
"314760 PASSA QUATRO";1;-
"314770 PASSA TEMPO";1;-
"314780 PASSA-VINTE";1;-
"314790 PASSOS";12;-
"314795 PATIS";1;-
"314800 PATOS DE MINAS";16;-
"314810 PATROCINIO";13;-
"314820 PATROCINIO DO MURIAE";-;-
"314830 PAULA CANDIDO";1;-
"314840 PAULISTAS";1;-
"314850 PAVAO";5;-
"314860 PECANHA";2;-
"314870 PEDRA AZUL";7;-
"314875 PEDRA BONITA";1;-
"314880 PEDRA DO ANTA";-;-
"314890 PEDRA DO INDAIA";-;1
"314900 PEDRA DOURADA";-;-
"314910 PEDRALVA";2;-
"314915 PEDRAS DE MARIA DA CRUZ";3;-
"314920 PEDRINOPOLIS";1;-
"314930 PEDRO LEOPOLDO";9;1
"314940 PEDRO TEIXEIRA";-;-
"314950 PEQUERI";-;-
"314960 PEQUI";-;-
"314970 PERDIGAO";1;-
"314980 PERDIZES";1;-
"314990 PERDOES";2;-
"314995 PERIQUITO";2;-
"315000 PESCADOR";-;-
"315010 PIAU";-;-
"315015 PIEDADE DE CARATINGA";1;-
"315020 PIEDADE DE PONTE NOVA";2;-
"315030 PIEDADE DO RIO GRANDE";-;-
"315040 PIEDADE DOS GERAIS";-;-
"315050 PIMENTA";1;-
"315053 PINGO-D'AGUA";2;-
"315057 PINTOPOLIS";-;-
"315060 PIRACEMA";1;-
"315070 PIRAJUBA";-;-
"315080 PIRANGA";3;-
"315090 PIRANGUCU";-;-
"315100 PIRANGUINHO";-;-
"315110 PIRAPETINGA";4;-
"315120 PIRAPORA";12;-
"315130 PIRAUBA";3;-
"315140 PITANGUI";7;-
"315150 PIUMHI";4;-
"315160 PLANURA";1;-
"315170 POCO FUNDO";3;-
"315180 POCOS DE CALDAS";26;-
"315190 POCRANE";5;-
"315200 POMPEU";7;-
"315210 PONTE NOVA";7;-
"315213 PONTO CHIQUE";1;-
"315217 PONTO DOS VOLANTES";3;-
"315220 PORTEIRINHA";8;-
"315230 PORTO FIRME";2;-
"315240 POTE";4;-
"315250 POUSO ALEGRE";16;1
"315260 POUSO ALTO";-;-
"315270 PRADOS";2;-
"315280 PRATA";4;-
"315290 PRATAPOLIS";1;-
"315300 PRATINHA";-;-
"315310 PRESIDENTE BERNARDES";2;-
"315320 PRESIDENTE JUSCELINO";1;-
"315330 PRESIDENTE KUBITSCHEK";1;-
"315340 PRESIDENTE OLEGARIO";1;-
"315350 ALTO JEQUITIBA";-;-
"315360 PRUDENTE DE MORAIS";-;-
"315370 QUARTEL GERAL";1;-
"315380 QUELUZITO";-;-
"315390 RAPOSOS";2;-
"315400 RAUL SOARES";3;-
"315410 RECREIO";3;-
"315415 REDUTO";2;-
"315420 RESENDE COSTA";3;-
"315430 RESPLENDOR";3;-
"315440 RESSAQUINHA";1;-
"315445 RIACHINHO";1;-
"315450 RIACHO DOS MACHADOS";2;-
"315460 RIBEIRAO DAS NEVES";45;-
"315470 RIBEIRAO VERMELHO";1;-
"315480 RIO ACIMA";1;-
"315490 RIO CASCA";4;-
"315500 RIO DOCE";-;-
"315510 RIO DO PRADO";1;-
"315520 RIO ESPERA";-;-
"315530 RIO MANSO";-;-
"315540 RIO NOVO";5;-
"315550 RIO PARANAIBA";-;-
"315560 RIO PARDO DE MINAS";8;-
"315570 RIO PIRACICABA";4;-
"315580 RIO POMBA";1;-
"315590 RIO PRETO";-;-
"315600 RIO VERMELHO";3;-
"315610 RITAPOLIS";2;-
"315620 ROCHEDO DE MINAS";-;-
"315630 RODEIRO";2;-
"315640 ROMARIA";-;-
"315645 ROSARIO DA LIMEIRA";-;-
"315650 RUBELITA";3;-
"315660 RUBIM";1;-
"315670 SABARA";21;2
"315680 SABINOPOLIS";6;-
"315690 SACRAMENTO";1;-
"315700 SALINAS";4;-
"315710 SALTO DA DIVISA";3;-
"315720 SANTA BARBARA";1;-
"315725 SANTA BARBARA DO LESTE";1;-
"315727 SANTA BARBARA DO MONTE VERDE";1;-
"315730 SANTA BARBARA DO TUGURIO";2;-
"315733 SANTA CRUZ DE MINAS";-;-
"315737 SANTA CRUZ DE SALINAS";-;-
"315740 SANTA CRUZ DO ESCALVADO";1;-
"315750 SANTA EFIGENIA DE MINAS";3;-
"315760 SANTA FE DE MINAS";1;1
"315765 SANTA HELENA DE MINAS";3;-
"315770 SANTA JULIANA";2;-
"315780 SANTA LUZIA";29;-
"315790 SANTA MARGARIDA";2;-
"315800 SANTA MARIA DE ITABIRA";4;-
"315810 SANTA MARIA DO SALTO";2;-
"315820 SANTA MARIA DO SUACUI";3;-
"315830 SANTANA DA VARGEM";1;-
"315840 SANTANA DE CATAGUASES";-;-
"315850 SANTANA DE PIRAPAMA";1;-
"315860 SANTANA DO DESERTO";1;-
"315870 SANTANA DO GARAMBEU";2;-
"315880 SANTANA DO JACARE";-;-
"315890 SANTANA DO MANHUACU";1;-
"315895 SANTANA DO PARAISO";5;1
"315900 SANTANA DO RIACHO";-;-
"315910 SANTANA DOS MONTES";2;-
"315920 SANTA RITA DE CALDAS";2;-
"315930 SANTA RITA DE JACUTINGA";1;-
"315935 SANTA RITA DE MINAS";-;-
"315940 SANTA RITA DE IBITIPOCA";1;-
"315950 SANTA RITA DO ITUETO";1;-
"315960 SANTA RITA DO SAPUCAI";-;1
"315970 SANTA ROSA DA SERRA";-;-
"315980 SANTA VITORIA";-;-
"315990 SANTO ANTONIO DO AMPARO";7;-
"316000 SANTO ANTONIO DO AVENTUREIRO";1;-
"316010 SANTO ANTONIO DO GRAMA";2;-
"316020 SANTO ANTONIO DO ITAMBE";1;-
"316030 SANTO ANTONIO DO JACINTO";1;-
"316040 SANTO ANTONIO DO MONTE";4;-
"316045 SANTO ANTONIO DO RETIRO";-;-
"316050 SANTO ANTONIO DO RIO ABAIXO";-;-
"316060 SANTO HIPOLITO";-;-
"316070 SANTOS DUMONT";9;-
"316080 SAO BENTO ABADE";1;-
"316090 SAO BRAS DO SUACUI";-;-
"316095 SAO DOMINGOS DAS DORES";4;-
"316100 SAO DOMINGOS DO PRATA";3;-
"316105 SAO FELIX DE MINAS";-;-
"316110 SAO FRANCISCO";17;-
"316120 SAO FRANCISCO DE PAULA";1;-
"316130 SAO FRANCISCO DE SALES";1;-
"316140 SAO FRANCISCO DO GLORIA";-;-
"316150 SAO GERALDO";-;-
"316160 SAO GERALDO DA PIEDADE";1;-
"316165 SAO GERALDO DO BAIXIO";-;-
"316170 SAO GONCALO DO ABAETE";3;-
"316180 SAO GONCALO DO PARA";-;-
"316190 SAO GONCALO DO RIO ABAIXO";2;-
"316200 SAO GONCALO DO SAPUCAI";1;-
"316210 SAO GOTARDO";7;-
"316220 SAO JOAO BATISTA DO GLORIA";-;-
"316225 SAO JOAO DA LAGOA";2;-
"316230 SAO JOAO DA MATA";-;-
"316240 SAO JOAO DA PONTE";4;-
"316245 SAO JOAO DAS MISSOES";7;-
"316250 SAO JOAO DEL REI";21;-
"316255 SAO JOAO DO MANHUACU";-;-
"316257 SAO JOAO DO MANTENINHA";-;-
"316260 SAO JOAO DO ORIENTE";-;-
"316265 SAO JOAO DO PACUI";-;-
"316270 SAO JOAO DO PARAISO";4;-
"316280 SAO JOAO EVANGELISTA";7;-
"316290 SAO JOAO NEPOMUCENO";8;-
"316292 SAO JOAQUIM DE BICAS";5;-
"316294 SAO JOSE DA BARRA";-;-
"316295 SAO JOSE DA LAPA";3;-
"316300 SAO JOSE DA SAFIRA";-;-
"316310 SAO JOSE DA VARGINHA";-;-
"316320 SAO JOSE DO ALEGRE";-;-
"316330 SAO JOSE DO DIVINO";-;-
"316340 SAO JOSE DO GOIABAL";1;-
"316350 SAO JOSE DO JACURI";1;-
"316360 SAO JOSE DO MANTIMENTO";-;-
"316370 SAO LOURENCO";6;-
"316380 SAO MIGUEL DO ANTA";-;-
"316390 SAO PEDRO DA UNIAO";1;-
"316400 SAO PEDRO DOS FERROS";3;-
"316410 SAO PEDRO DO SUACUI";1;-
"316420 SAO ROMAO";1;-
"316430 SAO ROQUE DE MINAS";-;-
"316440 SAO SEBASTIAO DA BELA VISTA";1;-
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";-;-
"316447 SAO SEBASTIAO DO ANTA";1;-
"316450 SAO SEBASTIAO DO MARANHAO";1;-
"316460 SAO SEBASTIAO DO OESTE";1;-
"316470 SAO SEBASTIAO DO PARAISO";12;-
"316480 SAO SEBASTIAO DO RIO PRETO";-;-
"316490 SAO SEBASTIAO DO RIO VERDE";-;-
"316500 SAO TIAGO";1;-
"316510 SAO TOMAS DE AQUINO";-;-
"316520 SAO THOME DAS LETRAS";-;-
"316530 SAO VICENTE DE MINAS";-;-
"316540 SAPUCAI-MIRIM";1;-
"316550 SARDOA";2;-
"316553 SARZEDO";2;-
"316555 SETUBINHA";4;-
"316556 SEM-PEIXE";1;-
"316557 SENADOR AMARAL";1;-
